idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity
2196,196,132.10082,132.10036,132.101525,127.9996,126.3418,132.079,100,100,91452182.92,pos
2197,197,132.166932,132.166398,132.167671,128.0795,126.519,131.5436,100,100,272900.9984,pos
2198,198,132.274025,132.270996,132.277059,127.9836,126.1976,131.0179,98,98,129032.8832,pos
2201,201,132.996963,132.996487,132.997763,139.4112,135.3696,142.662,105,105,1028472.773,pos
2202,202,132.996617,132.990187,132.998025,34.87325,14.3029,47.4976,100,100,837765.6872,pos
2204,204,133.084493,133.083184,133.092637,285.2732,281.5226,289.9154,89,89,265443.7621,pos
2205,205,133.104108,133.103669,133.104827,128.0209,126.3418,132.079,99,99,5638926.73,pos
2208,208,134.105048,134.104596,134.105608,128.69975,126.806,133.1078,68,68,198266.6981,pos
2210,210,135.001626,135.001211,135.002339,66.55125,63.4588,69.0354,92,92,946201.7643,pos
2212,212,135.099379,135.097035,135.100664,226.43155,215.9125,233.9901,98,98,276260.3136,pos
2215,215,136.046993,136.046404,136.04769,47.9725,47.3977,48.8015,94,94,1698212.891,pos
2216,216,136.022553,136.019592,136.029849,361.788,350.2144,364.6,91,91,170205.6438,pos
2217,217,136.074531,136.074072,136.075239,98.7291,97.4376,103.2794,98,98,1006812.201,pos
2219,219,137.045092,137.043742,137.069122,76.4094,42.7746,78.5692,100,89,111539.193,pos
2220,220,137.045341,137.044208,137.049253,158.29495,156.0399,183.8552,78,77,69515.18545,pos
2222,222,138.05123,138.050931,138.051673,50.9977,48.2182,52.0558,100,100,1089094.401,pos
2224,224,138.905258,138.904805,138.905861,49.9178,48.5965,50.9,99,99,955935.8664,pos
2229,229,140.067107,140.066613,140.079626,45.7204,43.6563,49.7744,103,103,2792270.666,pos
2232,232,140.902295,140.901829,140.902853,49.9839,48.5965,51.0866,99,99,555638.8868,pos
2234,234,140.999435,140.998953,141.000241,18.4172,13.0954,23.7709,102,102,2130821.8,pos
2237,237,141.075059,141.063487,141.090763,43.732,19.3005,50.3124,80,80,147088.8324,pos
2240,240,141.95721,141.956787,141.957646,766.46215,764.291,804.0356,96,94,48503196.01,pos
2245,245,142.90316,142.898998,142.912592,50.9743,48.3867,54.9622,89,89,91792.97688,pos
2247,247,143.032573,143.030999,143.05205,18.3077,11.7073,54.579,58,58,178730.7867,pos
2250,250,143.105136,143.07602,143.106862,244.4409,224.5135,253.3152,55,55,56034.52512,pos
2252,252,143.995648,143.995156,143.996475,20.7147,14.4697,30.9895,105,105,475515.5637,pos
2254,254,144.100644,144.100159,144.101286,51.851,51.182,52.5661,100,100,6161741.666,pos
2255,255,144.136965,144.136518,144.13739,430.9151,429.1033,433.7558,94,94,385846.2896,pos
2259,259,145.04839,145.04791,145.049224,19.1138,11.7073,26.3575,97,97,6061646.349,pos
2261,261,145.120918,145.119733,145.12249,340.04065,335.2669,341.3727,102,102,306615.2413,pos
2262,262,145.104114,145.103316,145.105952,51.5798,50.569,52.5661,97,97,286988.3433,pos
2265,265,146.0516,146.051223,146.053227,18.9069,12.4226,25.1513,63,63,226785.8464,pos
2267,267,146.116252,146.115731,146.116902,51.4138,50.3022,52.5661,98,98,421312.0613,pos
2268,268,146.116298,146.115391,146.117197,219.88615,214.481,221.826,94,94,194482.0703,pos
2272,272,147.012532,147.012136,147.013014,167.80505,165.2748,194.1569,88,88,2866666.085,pos
2273,273,147.075157,147.074642,147.112458,53.52,40.8177,54.4257,104,104,3338195.689,pos
2276,276,148.041661,148.04104,148.059484,75.56385,46.6474,78.5692,98,98,788633.8182,pos
2277,277,148.075159,148.072094,148.089863,183.32465,182.0835,215.5709,80,79,50978.92848,pos
2280,280,148.974496,148.97398,148.975232,144.83485,136.0819,151.0299,104,104,3082905.376,pos
2281,281,148.9746,148.974129,148.976669,14.0699,10.0297,20.1579,64,64,923590.1054,pos
2282,282,148.980734,148.976888,148.981484,54.62215,38.1373,56.0664,62,62,242826.5518,pos
2284,284,149.043523,149.04319,149.044595,20.52435,15.8581,26.3836,62,62,75133.133,pos
2285,285,149.058417,149.057575,149.059043,183.8925,183.1288,215.9002,100,99,354784.5879,pos
2289,289,150.057031,150.056578,150.057865,73.9413,72.9962,76.4284,100,100,4715360.978,pos
2290,290,150.079711,150.066127,150.08445,213.6899,207.8027,216.0395,85,85,111718.4963,pos
2292,292,150.130494,150.130106,150.131209,47.5012,41.7311,51.3469,75,75,70830.06538,pos
2293,293,150.931097,150.930313,150.931733,46.911,44.2896,48.7836,99,99,97935.53962,pos
2295,295,151.034703,151.03383,151.038819,36.29495,6.6628,49.8926,104,104,1357325.516,pos
2296,296,151.095188,151.094704,151.09564,173.93955,172.7894,175.3245,100,100,1803522.136,pos
2298,298,151.110542,151.094839,151.111335,357.1211,333.8641,359.9543,71,71,145716.023,pos
2299,299,151.136486,151.12785,151.137885,47.10085,39.8447,49.6365,104,104,1476425.34,pos
2301,301,152.043796,152.024088,152.057421,49.9178,25.2714,78.5692,101,100,434133.2702,pos
2302,302,152.098347,152.094682,152.103269,173.0588,171.5102,175.1703,61,61,32415.91723,pos
2303,303,152.142729,152.142268,152.143549,47.89025,42.4039,50.2755,98,98,198080.6533,pos
2304,304,152.945729,152.945278,152.946164,468.1378,462.8824,472.2675,102,102,5234679.982,pos
2305,305,152.945734,152.945284,152.946174,330.0596,329.1028,331.7569,85,85,2928588.845,pos
2308,308,153.061831,153.057635,153.063607,155.3525,154.2763,157.2268,99,99,527620.9008,pos
2309,309,153.031776,153.03094,153.053962,34.4624,13.6452,36.861,101,101,138355.0791,pos
2312,312,154.066443,154.051617,154.084938,48.5326,10.2582,51.7559,91,89,101657.4078,pos
2313,313,154.082646,154.081969,154.096488,127.8633,86.364,160.6478,86,86,252978.4092,pos
2316,316,155.044668,155.039034,155.050897,50.7394,46.2784,52.5146,71,71,54017.18771,pos
2317,317,155.105287,155.104788,155.105699,353.22315,351.7395,354.2925,100,100,1605490.802,pos
2320,320,156.029816,156.012904,156.039534,36.8609,7.7749,81.1542,107,105,1369557.055,pos
2321,321,156.10053,156.098448,156.101776,248.57075,246.619,251.7928,84,84,98472.96783,pos
2322,322,156.107329,156.104929,156.109497,352.8323,350.0029,356.4588,72,72,80518.44902,pos
2324,324,157.082239,157.08175,157.082755,222.3313,216.031,227.4034,101,101,511852.1442,pos
2326,326,158.001543,158.001158,158.002515,80.2491,75.34,85.4253,83,83,906089.3273,pos
2327,327,158.025731,158.001369,158.026666,18.2263,13.0954,23.174,105,105,34665973.72,pos
2330,330,158.116002,158.115407,158.116496,245.48125,243.749,247.3841,100,100,368118.5618,pos
2331,331,158.152489,158.152047,158.152969,459.82,458.3945,461.8236,102,102,498793.9417,pos
2333,333,158.152734,158.152182,158.153492,16.80555,13.6452,19.8404,56,56,108925.7132,pos
2335,335,158.96267,158.962184,158.963408,42.5133,41.1201,43.7394,99,99,1340018.333,pos
2336,336,159.029102,159.028569,159.029968,18.7184,13.0954,23.174,99,99,1740048.06,pos
2338,338,159.208622,159.207517,159.209413,500.76335,499.2837,502.1252,94,94,78121.06473,pos
2340,340,160.021548,160.021011,160.022395,18.0811,13.0954,23.1242,93,93,1029812.698,pos
2342,342,160.131795,160.131321,160.132456,292.6995,290.9258,294.4744,99,99,370202.7536,pos
2343,343,160.13181,160.131322,160.132566,55.55495,52.0516,63.2442,100,100,644138.0817,pos
2344,344,160.214997,160.214508,160.215458,501.1298,500.3642,502.8786,100,100,1056231.529,pos
2346,346,160.962482,160.959262,160.963213,764.2314,759.2977,799.1499,81,81,2367647.209,pos
2347,347,160.962677,160.960946,160.963157,723.54215,719.9005,729.2501,60,60,498307.6211,pos
2348,348,161.004687,161.004106,161.00558,96.5213,95.5972,100.628,100,100,713200.8392,pos
2350,350,161.06393,161.062872,161.066704,243.9439,242.7072,245.852,63,63,50494.89143,pos
2351,351,161.127843,161.125297,161.132627,51.7073,50.4162,53.2896,55,55,20438.18962,pos
2352,352,161.218357,161.216865,161.22025,499.98465,499.1226,501.7016,82,82,50741.8472,pos
2354,354,162.057081,162.055806,162.059173,161.8854,161.0845,162.5386,99,99,772367.8667,pos
2355,355,162.047418,162.044451,162.049211,61.4286,59.4651,63.6507,54,54,75511.6677,pos
2356,356,162.111048,162.074839,162.111804,50.9458,45.6738,51.7559,101,101,10565102.06,pos
2357,357,162.077348,162.074247,162.106371,212.99275,211.8273,214.2288,100,100,349317.0731,pos
2359,359,163.037426,163.036902,163.038,676.29775,669.07,678.3942,82,82,456625.7098,pos
2360,360,163.03776,163.036849,163.046246,373.0333,368.2904,375.4679,78,78,620152.1488,pos
2362,362,163.037745,163.036929,163.059178,96.9928,59.5232,98.9686,69,67,191912.4024,pos
2363,363,163.114523,163.1139,163.115318,50.6434,48.2182,51.2266,100,100,573217.159,pos
2364,364,163.103954,163.08711,163.12045,212.7886,210.8536,215.6169,81,81,76980.79131,pos
2365,365,163.131336,163.130617,163.131712,352.4548,348.714,353.712,105,105,489953.4363,pos
2367,367,163.131265,163.130687,163.132083,554.00055,552.0296,556.2295,72,72,119119.3067,pos
2369,369,164.028076,164.027309,164.02901,49.14225,47.4976,50.1192,96,96,63741.19146,pos
2370,370,164.117841,164.105145,164.12297,213.3141,211.9204,218.5107,95,95,176119.8163,pos
2371,371,164.925631,164.920229,164.928723,49.40235,43.3677,51.5691,86,86,77314.19717,pos
2374,374,164.982874,164.982448,164.983451,759.6842,746.332,774.4292,56,56,3582308.965,pos
2375,375,165.044685,165.043762,165.045026,23.47455,7.7749,56.5701,54,54,87300.54601,pos
2376,376,165.053306,165.052786,165.054162,98.9089,97.5768,103.7948,99,99,1569809.489,pos
2377,377,165.105637,165.074063,165.106428,217.711,198.6527,255.5525,95,94,516267.3483,pos
2379,379,165.074252,165.072799,165.089118,167.0204,165.5044,168.889,81,81,160762.4292,pos
2380,380,165.841069,165.83694,165.846906,183.397,182.3921,184.2193,91,91,48121.12195,pos
2381,381,165.929725,165.927365,165.930418,183.4313,182.6327,184.299,81,81,59254.22135,pos
2383,383,165.99178,165.991104,165.992743,183.85235,183.0991,184.5555,98,98,193079.9665,pos
2384,384,166.030797,166.029368,166.032522,464.15845,460.0648,467.4863,92,92,132704.9262,pos
2385,385,166.053942,166.045803,166.056355,96.9839,46.5486,103.2794,78,75,158069.6236,pos
2386,386,166.084865,166.084338,166.085371,184.3052,183.6293,185.2239,105,105,89357891.91,pos
2388,388,166.177958,166.14836,166.17869,183.95505,181.8776,186.2875,96,96,221160.8904,pos
2389,389,166.240316,166.239455,166.241635,183.5352,182.9856,184.299,89,89,75500.91828,pos
2390,390,166.329014,166.323715,166.335161,183.603,182.5607,184.5501,98,98,102695.177,pos
2392,392,167.011551,167.010961,167.012466,23.7111,7.7749,50.727,105,105,1686670.762,pos
2393,393,167.020453,167.013906,167.02173,93.9342,70.0479,99.5641,99,99,1052121.67,pos
2394,394,167.088115,167.087574,167.093845,184.1608,183.3683,184.9004,100,100,8426784.543,pos
2395,395,167.10319,167.102089,167.105182,338.4525,336.0208,341.7383,86,86,127369.897,pos
2396,396,167.5472,167.546678,167.54772,23.8208,8.291,54.4271,95,95,8079192.204,pos
2398,398,168.048835,168.025097,168.05122,23.93905,8.291,54.9514,86,86,945792.9366,pos
2399,399,168.105799,168.075297,168.122175,178.84665,172.7395,198.8438,102,102,288441.9786,pos
2400,400,168.545529,168.544701,168.554603,24.2122,7.2112,53.3716,69,69,277613.3765,pos
2403,403,169.045265,169.038566,169.049398,67.5975,51.7135,71.1512,100,100,1815129.148,pos
2404,404,169.120837,169.120087,169.121385,383.9027,351.888,388.3891,117,102,344828.5255,pos
2405,405,169.118887,169.118098,169.119394,307.1994,304.9595,308.7553,56,56,152518.9256,pos
2406,406,169.543893,169.543212,169.544832,24.1254,8.291,55.4835,55,55,84428.82581,pos
2408,408,170.090991,170.089972,170.09621,53.1824,43.7324,55.3984,79,79,145595.8732,pos
2409,409,170.116109,170.114789,170.116999,295.3576,294.6805,295.9913,100,100,559951.8561,pos
2412,412,170.962643,170.962081,170.96337,54.2457,52.6525,57.3228,99,99,929531.2144,pos
2415,415,171.147979,171.147348,171.148847,17.385,14.4336,22.5635,69,69,1431344.249,pos
2416,416,171.536637,171.535967,171.536947,21.1028,14.5261,26.0326,53,53,79158.77661,pos
2418,418,171.990432,171.989857,171.991411,20.6619,14.4697,30.9895,105,105,2452289.846,pos
2420,420,172.038903,172.037514,172.039718,75.92145,74.122,78.6851,68,68,47388.74718,pos
2422,422,172.131907,172.131165,172.146831,299.41165,296.1846,302.5353,102,102,175554.0228,pos
2423,423,172.165529,172.160606,172.167563,524.4428,523.2721,525.1441,97,97,310970.5826,pos
2425,425,173.077064,173.076509,173.077595,172.7195,171.8349,173.1924,101,101,5075854.993,pos
2427,427,173.115691,173.077005,173.116311,354.4176,352.8496,384.0676,101,101,396782.8984,pos
2428,428,173.118315,173.117539,173.119099,47.7026,43.6563,49.0232,99,99,250792.8102,pos
2429,429,173.224186,173.222887,173.225918,499.7091,498.8931,500.6597,65,65,29728.84322,pos
2431,431,173.98312,173.982672,173.983662,766.37465,764.1429,804.6862,62,61,2556522.445,pos
2432,432,174.080406,174.079496,174.082256,172.53765,171.599,173.3107,100,100,200010.1482,pos
2433,433,174.113096,174.074839,174.118813,248.5036,246.7924,267.881,96,96,96038.46564,pos
2435,435,174.23055,174.22999,174.23109,500.6936,500.1346,501.7024,99,99,495887.0156,pos
2437,437,175.032676,175.032164,175.033277,251.31985,248.932,253.7749,100,100,1547168.541,pos
2438,438,175.046099,175.043739,175.046986,153.8127,152.9397,155.8559,95,95,206871.942,pos
2440,440,175.08873,175.088082,175.089634,17.2361,14.4336,22.2974,61,61,186944.2429,pos
2441,441,175.117475,175.106876,175.118295,51.5691,41.6712,52.4089,105,105,1710170.813,pos
2442,442,175.131508,175.13078,175.13227,553.8114,549.4969,555.0987,77,77,84734.43698,pos
2444,444,176.069282,176.068236,176.070817,322.2637,321.5263,323.602,99,99,228261.7925,pos
2445,445,176.064413,176.063829,176.065049,127.5224,125.468,131.5436,90,90,190928.9677,pos
2446,446,176.072582,176.071897,176.07332,219.2998,217.2507,220.0613,99,99,606236.1351,pos
2447,447,176.102856,176.101259,176.12112,52.82245,50.2242,53.84,100,100,178774.6124,pos
2448,448,176.552396,176.551893,176.553017,24.1013,8.291,54.9514,89,88,2368507.981,pos
