idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity,tp1_food_YESvsNO,id,P_1,p<0.05,"p,0.01",sign_1
4474,2474,495.323661,495.297796,495.325503,662.52205,657.3487,690.0225,102,100,1210562.224,pos,TRUE,4474,0.008569,TRUE,TRUE,1
4475,2475,495.324652,495.322153,495.33869,758.0027,757.2949,783.0682,101,100,1054171.698,pos,TRUE,4475,0.005003,TRUE,TRUE,1
4476,2476,495.400317,495.39867,495.401826,775.34045,770.9767,780.0719,76,76,99543.3367,pos,FALSE,NA,NA,NA,NA,NA
4477,2477,495.854676,495.852359,495.856767,701.1514,700.4406,701.8451,93,93,106832.5412,pos,TRUE,4477,0.000041,TRUE,TRUE,1
4478,2478,495.952696,495.944017,495.955481,403.4205,401.9226,404.2473,99,99,514567.2609,pos,TRUE,4478,0.609076,0,0,1
4479,2479,496.175494,496.173225,496.177818,701.1897,700.4406,701.8107,98,98,208681.0597,pos,TRUE,4479,0.000225,TRUE,TRUE,1
4480,2480,496.240404,496.238855,496.242341,299.594,298.7284,300.567,79,79,74158.77858,pos,FALSE,NA,NA,NA,NA,NA
4481,2481,496.288331,496.276242,496.290584,403.3249,400.8297,404.5991,97,97,359780.9987,pos,TRUE,4481,0.27522,0,0,-1
4482,2482,496.300162,496.29855,496.301448,353.5044,352.6688,354.5098,98,98,451484.035,pos,FALSE,NA,NA,NA,NA,NA
4483,2483,496.335503,496.334194,496.337103,701.3771,700.8232,701.9683,99,99,97551763.91,pos,TRUE,4483,0.000128,TRUE,TRUE,1
4484,2484,496.398978,496.394428,496.407926,700.9026,699.9722,701.5699,80,80,87545.10262,pos,FALSE,NA,NA,NA,NA,NA
4485,2485,496.496035,496.493542,496.49795,701.27435,700.5927,701.9683,98,98,207505.5483,pos,TRUE,4485,0.000169,TRUE,TRUE,1
4486,2486,496.616796,496.5783,496.622404,402.3853,394.6946,404.0981,94,94,152591.6632,pos,TRUE,4486,0.710307,0,0,1
4487,2487,496.817297,496.814618,496.820335,701.1882,700.4829,701.8851,98,98,123663.4648,pos,TRUE,4487,0.004968,TRUE,TRUE,1
4488,2488,496.80182,496.800002,496.803686,353.4813,352.205,354.7192,95,95,181410.7466,pos,FALSE,NA,NA,NA,NA,NA
4489,2489,497.231677,497.229987,497.23319,300.65505,299.6265,301.4651,100,100,666351.8659,pos,TRUE,4489,0.569007,0,0,1
4491,2491,497.271855,497.269976,497.27699,757.6894,755.6041,759.027,55,55,44003.94704,pos,FALSE,NA,NA,NA,NA,NA
