idx,idx_old,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,samples,MPA,polarity
760,760,341.193304,341.192689,341.194515,730.7629,698.7625,767.5173,61,61,420725.2354,neg
761,761,342.731247,342.730036,342.732573,58.85885,56.6148,61.0071,98,98,109687.9367,neg
762,762,342.891671,342.890357,342.892543,78.3401,77.4185,79.254,101,101,276861.3296,neg
763,763,342.973765,342.972162,342.974469,56.9819,55.6544,58.1218,70,70,98316.08956,neg
764,764,343.06875,343.067197,343.070736,296.3572,293.9008,298.7055,61,61,109842.0291,neg
765,765,344.086581,344.085654,344.0876,268.3906,265.2739,269.9543,101,101,1935517.353,neg
766,766,344.728348,344.726693,344.729423,58.7335,55.7175,60.876,96,96,85408.72254,neg
767,767,344.817871,344.816275,344.818787,51.1319,50.0542,52.3348,101,101,186074.6013,neg
768,768,344.888705,344.886921,344.889859,78.6378,77.4697,80.2394,91,91,62256.14621,neg
769,769,345.016347,345.015008,345.017375,108.1286,105.8417,110.2277,101,101,194441.4819,neg
770,770,345.090207,345.088813,345.091196,268.1589,262.8745,271.4349,70,70,199073.4651,neg
771,771,346.814931,346.813179,346.815961,51.1935,50.5982,52.4973,101,101,247793.7618,neg
772,772,347.013349,347.006728,347.014878,108.04155,106.174,110.3489,68,68,42994.90718,neg
773,773,348.811858,348.810396,348.813097,51.0537,50.2968,52.2155,101,101,104471.5638,neg
774,774,349.081511,349.064882,349.088824,297.2698,294.2215,308.722,98,98,314747.9166,neg
775,775,349.233588,349.232497,349.249166,715.77055,714.4327,719.6263,62,62,84242.67773,neg
776,776,350.207742,350.20628,350.209062,563.05695,562.2782,564.208,100,100,94952.53998,neg
777,777,351.001869,351.000487,351.003294,439.5525,438.3493,441.1367,83,83,131289.4346,neg
778,778,352.083737,352.082449,352.084841,394.3182,379.199,404.6456,59,59,193372.2098,neg
779,779,352.76214,352.760093,352.765212,53.4783,51.7926,54.8136,57,57,46845.36442,neg
780,780,353.198144,353.196876,353.199652,637.4134,582.324,670.8947,105,105,202835.5188,neg
781,781,354.041364,354.041006,354.042852,264.86925,261.2399,270.0213,66,66,404553.2932,neg
782,782,354.846447,354.844899,354.84768,49.7243,49.0755,50.4816,101,101,110965.4845,neg
783,783,355.246304,355.245411,355.247913,603.9265,601.9922,605.8139,77,77,76496.09742,neg
784,784,356.041669,356.040964,356.043496,265.4998,262.9664,269.9481,61,61,177642.0372,neg
785,785,356.839229,356.834704,356.843241,51.1329,49.6451,52.7361,101,101,127051.2594,neg
787,787,357.028988,357.027392,357.029983,79.47665,78.6239,80.2238,100,100,131548.6237,neg
788,788,357.090897,357.089637,357.092019,521.0971,520.5358,521.8073,101,101,268408.8761,neg
789,789,358.257463,358.256335,358.258645,483.5772,480.8341,485.6826,79,79,409616.3348,neg
790,790,358.821215,358.813847,358.841687,61.6726,48.4575,68.1985,75,75,98545.73629,neg
791,791,361.203352,361.201999,361.204114,610.3408,609.5949,610.9737,72,72,433023.4654,neg
792,792,362.014729,362.013102,362.015853,235.927,234.4822,237.4012,98,98,158622.7808,neg
793,793,362.938272,362.937043,362.939566,42.6008,41.3144,44.1392,103,103,258397.8815,neg
794,794,362.938733,362.913562,362.93947,422.1513,392.6343,440.7334,65,65,688094.7973,neg
795,795,363.124654,363.123264,363.126095,283.033,281.4527,284.2753,55,55,78342.30267,neg
